V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
1997 52754 170 2 32766 32766 30465 69 -4 448 94 32 3636 5 56 41 -241 243 -59 70 1 -2 6708 6906 6814 
1998 52754 197 13 32766 32766 30007 68 0 235 88 33 3801 2 55 44 -262 234 -49 84 13 10 6640 6930 6816 
1999 52754 173 15 32766 32766 29707 67 8 193 116 32 4085 2 57 45 -253 251 -52 79 8 5 6663 6911 6811 
2000 52754 183 13 32766 32766 30860 69 11 354 92 31 4196 2 56 42 -266 275 -62 71 1 -2 6669 6905 6803 
2001 52754 200 14 32766 32766 30409 69 -22 229 93 34 2975 4 51 41 -270 244 -57 78 7 4 6674 6904 6809 
2002 52754 203 14 32766 32766 30912 70 -2 278 97 33 3722 2 56 43 -314 223 -58 76 5 2 6668 6915 6811 
2003 52754 160 903 32766 32766 30424 69 -9 264 106 33 3449 2 54 43 -263 232 -53 80 10 7 6642 6930 6803 
2004 52754 174 14 288 13 30953 70 13 285 98 33 4279 6 52 40 -263 227 -57 75 5 2 6662 6912 6808 
2005 52754 175 14 262 14 28856 65 13 216 116 31 4277 6 53 43 -223 222 -51 76 9 6 6672 6907 6803 
2006 52754 159 14 251 13 29177 66 10 472 113 31 4155 6 54 44 -232 249 -49 83 12 9 6656 6916 6808 
2007 52754 181 3 253 13 28305 64 16 246 109 31 4419 7 53 42 -263 212 -50 80 9 6 6690 6907 6806 
2008 52754 170 2 227 13 28708 65 4 316 108 30 3958 6 52 40 -285 222 -56 75 5 2 6662 6893 6803 
2009 52754 172 13 278 13 27643 62 10 225 114 32 4160 6 52 43 -262 217 -48 79 10 7 6617 6910 6800 
2010 52754 176 15 279 14 29565 67 5 301 91 33 3968 5 49 43 -252 267 -48 86 14 11 6631 6900 6802 
2011 52754 146 14 219 14 28242 64 12 255 117 29 4237 4 53 42 -263 235 -50 77 8 5 6658 6919 6801 
2012 52754 167 14 268 14 25886 58 -2 192 130 28 3712 5 53 42 -271 211 -55 69 2 -1 6664 6892 6791 
2013 52754 160 14 233 13 30101 68 -3 332 81 30 3753 4 49 42 -246 255 -47 85 11 11 6666 6921 6805 
1951 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1952 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
